"code_commune_insee","nom_de_la_commune","code_postal","latitude","longitude"
"26096","CLERIEUX","26260","45.08079473161824","4.956090470437948"
"26097","CLIOUSCLAT","26270","44.72234250044792","4.832555776448066"
"26098","COBONNE","26400","44.75402867409444","5.074718555043858"
"26099","COLONZELLE","26230","44.388124809686545","4.900142233731531"
"26100","COMBOVIN","26120","44.85658396783438","5.111045785772292"
"26101","COMPS","26220","44.55161063492385","5.101557608088044"
"26102","CONDILLAC","26740","44.63807775363337","4.828196753708304"
"26103","CONDORCET","26110","44.41216490525927","5.181308333064587"
"26104","CORNILLAC","26510","44.43915814462807","5.4017914668279845"
"26105","CORNILLON SUR L OULE","26510","44.455742115362725","5.363604977578225"
"26106","LA COUCOURDE","26740","44.63952981436257","4.78431288145765"
"26107","CREPOL","26350","45.17779616681267","5.067461346863249"
"26108","CREST","26400","44.73112646641266","5.021130089639388"
"26110","CROZES HERMITAGE","26600","45.10226124661786","4.844632719800178"
"26111","CRUPIES","26460","44.552350374809905","5.180468557106219"
"26112","CURNIER","26110","44.383640833104636","5.232933281351633"
"26113","DIE","26150","44.751546046381605","5.387770288603183"
"26114","DIEULEFIT","26220","44.53539075934527","5.068526477668302"
"26115","DIVAJEU","26400","44.70446372447806","5.009715660951447"
"26116","DONZERE","26290","44.4347423479492","4.709952592012753"
"26117","ECHEVIS","26190","45.026058857901845","5.384492890796284"
"26118","EPINOUZE","26210","45.312250766787","4.938043347411242"
"26119","EROME","26600","45.12644471341673","4.835169038870035"
"26121","ESPELUCHE","26780","44.518083157633725","4.818025067615142"
"26122","ESPENEL","26340","44.68940120821911","5.2366786632463125"
"26123","ESTABLET","26470","44.498776700500756","5.441478197483303"
"26124","ETOILE SUR RHONE","26800","44.835253687233035","4.874731804315521"
"26125","EURRE","26400","44.75802432214311","4.975623547188034"
"26126","EYGALAYES","26560","44.22231464467552","5.5908508366006044"
"26127","EYGALIERS","26170","44.23825956267906","5.287695257395905"
"26128","EYGLUY ESCOULIN","26400","44.80216102963983","5.201196179211285"
"26129","EYMEUX","26730","45.06665422618251","5.177276202916315"
"26130","EYROLES","26110","44.414783494736064","5.2465781588368365"
"26131","EYZAHUT","26160","44.559370012989305","5.006387219930774"
"26133","FAY LE CLOS","26240","45.222502014033864","4.906340739324463"
"26134","FELINES SUR RIMANDOULE","26160","44.58026138431484","5.05567536198195"
"26135","FERRASSIERES","26570","44.14254162976161","5.499326838336291"
"26136","VAL MARAVEL","26310","44.59004768378385","5.587713885762241"
"26137","FRANCILLON SUR ROUBION","26400","44.61729009390586","5.072318285320211"
"26138","LA GARDE ADHEMAR","26700","44.38823706329845","4.751376554377458"
"26139","GENISSIEUX","26750","45.082592166506984","5.093533660360897"
"26140","GEYSSANS","26750","45.12078838785929","5.090256212048159"
"26141","GIGORS ET LOZERON","26400","44.8251545225271","5.116219130039994"
"26142","GLANDAGE","26410","44.697458090526396","5.612112787533393"
"26143","LE GRAND SERRE","26530","45.25848544956248","5.102931850291263"
"26144","GRANE","26400","44.716682296375296","4.896320635818425"
"26145","LES GRANGES GONTARDES","26290","44.43025609942118","4.748203815772191"
"26146","GRIGNAN","26230","44.43948300685538","4.903234500102281"
"26147","GUMIANE","26470","44.51068042693761","5.263922538138711"
"26148","HAUTERIVES","26390","45.250990532089","5.034141607127607"
"26149","HOSTUN","26730","45.03151840364185","5.194773338935082"
"26150","IZON LA BRUISSE","26560","44.26758168369956","5.600258109438693"
"26152","JONCHERES","26310","44.562514524618805","5.409024758339438"
"26153","LABOREL","26560","44.28711019921723","5.594440602374489"
"26154","LACHAU","26560","44.2182363687712","5.648730737371977"
"26155","LAPEYROUSE MORNAY","26210","45.327869487286435","4.98457806270975"
"26156","LARNAGE","26600","45.10088243703558","4.863533705314647"
